"Product_ID,Category,Name_CN,Name_EN,Latin_Name,Origin,Volume,Price,Ingredients,Usage,Method,Description,Version_Date"
"EO005,single-oil,野生索馬利亞乳香,Frankincense Carterii,Boswellia carterii,索馬利亞,10ML,125,""100% 野生乳香純精油"",""細胞修護、自律神經安定"",擴香或稀釋按摩,""單萜烯微分子，支持肌膚屏障修護，理智調節自律神經系統。"",2026-05-25"
"EO006,single-oil,佛手柑,Bergamot,Citrus bergamia,義大利,10ML,69,""100% 佛手柑純精油"",""安撫與提振平衡"",擴香,""平衡型精油，理智消融焦慮，找回寬廣心靈空間。"",2026-05-25"
"EO007,single-oil,澳洲尤加利,Eucalyptus Radiata,Eucalyptus radiata,澳洲,10ML,36,""100% 澳洲尤加利純精油"",""呼吸道通透支持"",擴香,""溫和的呼吸道護理，減輕胸腔悶脹感，帶來高含氧感。"",2026-05-25"
"EO08,single-oil,廣藿香,Patchouli,Pogostemon cablin,印尼,5ML,32,""100% 廣藿香純精油"",""肌膚修護、大地定錨"",擴香或稀釋按摩,""倍半萜醇結構，實質支持躁動肌膚修護，建立穩健心理屏障。"",2026-05-25"
"EO09,single-oil,絲柏,Cypress,Cupressus sempervirens,西班牙,10ML,45,""100% 絲柏純精油"",""滯留代謝、收斂皮脂"",下肢按摩,""組織收斂特性，瓦解身心的膠著狀態，帶來流暢感。"",2026-05-25"
"EO10,single-oil,日本檜木,Hinoki,Chamaecyparis obtusa,日本,5ML,37,""100% 日本檜木純精油"",""神經系統定性、淨化"",居家高階擴香,""含檜木醇，科學實證下調皮質醇，重塑堅韌心理內核。"",2026-05-25"
"EO11,single-oil,紅桔,Mandarin,Citrus reticulata,義大利,10ML,27,""100% 紅桔純精油"",""釋放緊繃、安全感建立"",全家擴香,""細緻甜美香氣，安撫過度疲憊的神經，消除睡前胡思亂想。"",2026-05-25"
"EO12,single-oil,沉香醇百里香,Thyme Linalool,Thymus vulgaris ct. linalool,法國,10ML,70,""100% 沉香醇百里香純精油"",""溫和激勵、病後補養"",擴香,""極度親膚，激勵免疫防禦，為疲憊身心注入強韌支撐。"",2026-05-25"
"CO001,carrier-oil,有機黃金荷荷芭油,Organic Jojoba Golden Oil,Simmondsia chinensis,阿根廷,30ML,48,""100% 有機金黃荷荷芭油"",""皮脂油水平衡調理"",精油稀釋基底,""與皮脂結構高度相似，以油溶油調理，建立透氣保護膜。"",2026-05-25"
"CO002,carrier-oil,有機精釀葡萄籽油,Organic Grapeseed Oil,Vitis vinifera,法國,30ML,48,""100% 有機葡萄籽油"",""清爽型按摩、亮白"",面部按摩底油,""極致輕盈，絕不殘留黏膩感，細緻毛孔。"",2026-05-25"
"CO003,carrier-oil,有機甜杏仁油,Organic Sweet Almond Oil,Prunus dulcis,西班牙,30ML,48,""100% 有機甜杏仁油"",""全身按摩、局部乾癢舒緩"",按摩,""高油酸質地，軟化糙燥表皮，極佳親膚包裹感。"",2026-05-25"
"CO004,carrier-oil,杏桃仁油,Apricot Kernel Oil,Prunus armeniaca,義大利,30ML,48,""100% 杏桃仁油"",""面部深度滋養"",眼周細紋按摩,""輕薄且高滲透，告別疲態，喚醒自然光澤。"",2026-05-25"
"SO29,cold-process-soap,Awake 喚醒 · 沙棘油肉桂冷製皂,AWAKE Sea Buckthorn Cinnamon CP Soap,Saponified Cold-Process Bar,Soulgreen 工坊,100g,88,""山茶籽油、椰子油、沙棘油、錫蘭肉桂粉..."",溫和潔淨、掃除暗沉疲憊,日常沐浴,""皂體呈深褐色澤，以沙棘油支持皮脂膜健康，肉桂與紅橘激勵身心。"",2026-05-25"
"SO30,cold-process-soap,Clarify 定念 · 尤加利浮石冷製皂,CLARIFY Eucalyptus Pumice CP Soap,Saponified Cold-Process Bar,Soulgreen 工坊,100g,88,""橄欖油、椰子油、可可籽脂..."",物理性角質拋光、深層吸附,日常沐浴,""以浮石微粒拋光，尤加利與絲柏香氣穩定專注力，還原清明。"",2026-05-25"
"SO31,cold-process-soap,Serenity 至福 · 金盞花燕麥奶冷製皂,SERENITY Calendula Oat Milk CP Soap,Saponified Cold-Process Bar,Soulgreen 工坊,100g,88,""橄欖油、歐洲榛籽油、金盞花浸泡油..."",極致親膚溫和洗沐、深度滋養,日常沐浴,""以燕麥奶滋養，乳香分子與天竺葵平復緊繃，給予身心安定感。"",2026-05-25"
"SO32,cold-process-soap,Origin 本源 · 鱷梨艾草冷製皂,ORIGIN Avocado Mugwort CP Soap,Saponified Cold-Process Bar,Soulgreen 工坊,100g,88,""鱷梨油、椰子油、天然艾絨..."",皮脂調理穩定、天然植物淨化,日常沐浴,""艾絨點綴，鱷梨油調節脂質，廣藿香提供大地定錨效果。"",2026-05-25"
"SO33,cold-process-soap,Aura 心域 · 澳洲堅果粉紅石泥冷製皂,AURA Macadamia Pink Clay CP Soap,Saponified Cold-Process Bar,Soulgreen 工坊,100g,88,""澳洲堅果油、白池花籽油、天然粉紅石泥..."",吸附毛孔髒污、軟化乾燥,日常沐浴,""粉紅石泥深層清潔，玫瑰天竺葵撫慰疲憊，給予絲滑呵護。"",2026-05-25"
"SO34,cold-process-soap,Solace 沉酣 · 山茶花黑種草冷製皂,SOLACE Camellia Nigella Seeds CP Soap,Saponified Cold-Process Bar,Soulgreen 工坊,100g,88,""山茶籽油、甜扁桃油、可可籽脂..."",夜間深度修護、滋養糙燥肌,日常沐浴,""山茶油深層保濕，黑種草籽調理波動，助您穩健入眠。"",2026-05-25"
"SE01,seasonal,植物功能性防蚊噴霧,Botanical Shield Mosquito Repelling Spray,Cymbopogon nardus ✕ Eucalyptus citriodora Shield,Soulgreen 實驗室,30ML,48,""檸檬馬鞭草純露、精油乳化劑、香茅、檸檬尤加利..."",""昆蟲防禦、環境清新"",噴灑衣物或皮膚,""植物分子干擾蚊蟲嗅覺，結合檸檬馬鞭草調和空氣悶熱感。"",2026-05-25"
"SE02,seasonal,紫草舒緩修護滾珠油,Lithospermum Anti-Itch Calming Roll-On Oil,Lithospermum erythrorhizon Infused Repair Oil,Soulgreen 實驗室,10ML,48,""分餾椰子油、紫草根浸泡油、淨化複方精油..."",""蚊蟲叮咬止癢、紅腫修護"",塗抹於不適處,""紫草素極佳修護力，結合薄荷冷感受體，迅速截斷搔癢訊號。"",2026-05-25"
